est.E_PC1,est.Spatial,est.beta,E_PC1,Spatial,BD
-0.807768354,-2.352044,0.011632043,-0.8865671,-1.347885075,0.013754164
-0.725037212,-2.352044,0.011556839,-1.787878563,-2.018372656,0.015098961
-0.642306071,-2.352044,0.011482121,-2.313799552,-2.352043511,0.016097595
-0.559574929,-2.352044,0.011407886,2.921692862,7.043286984,0.007875537
-0.476843788,-2.352044,0.011334132,3.494250544,4.857881187,0.010295291
-0.394112646,-2.352044,0.011260854,3.063568567,2.600419171,0.01165411
-0.311381505,-2.352044,0.01118805,3.125115441,1.40134489,0.008480828
-0.228650364,-2.352044,0.011115717,1.445569066,0.656067222,0.009836815
-0.145919222,-2.352044,0.011043851,1.108148437,0.621745285,0.009920069
-0.063188081,-2.352044,0.01097245,-0.326107722,0.951251973,0.012637753
0.019543061,-2.352044,0.010901511,0.084104426,0.567533768,0.011315882
0.102274202,-2.352044,0.01083103,-0.158008803,0.030516741,0.013408845
0.185005343,-2.352044,0.010761005,1.28653814,-0.059143656,0.00995814
0.267736485,-2.352044,0.010691432,-0.079950831,-0.219389017,0.010900887
0.350467626,-2.352044,0.01062231,0.788828937,-0.370402798,0.010772741
0.433198768,-2.352044,0.010553634,0.78398094,-0.222591467,0.004817949
0.515929909,-2.352044,0.010485402,0.04109723,-0.180914716,0.008686311
0.598661051,-2.352044,0.010417612,-0.099913033,-0.243642148,0.006403354
0.681392192,-2.352044,0.010350259,1.156121538,-0.357591857,0.006586863
0.764123333,-2.352044,0.010283343,0.84479231,-0.412579888,0.006522927
0.846854475,-2.352044,0.010216858,0.345643656,-0.457059826,0.009586839
0.929585616,-2.352044,0.010150804,-0.432474216,-0.434218783,0.007941173
1.012316758,-2.352044,0.010085177,0.374225573,-0.436871752,0.009479045
1.095047899,-2.352044,0.010019974,0.518425901,-0.444727336,0.010643624
1.17777904,-2.352044,0.009955192,0.127021013,-0.461327317,0.008245097
1.260510182,-2.352044,0.00989083,0.924429766,-0.492699481,0.006973762
1.343241323,-2.352044,0.009826883,-0.129678639,-0.525787278,0.010916999
1.425972465,-2.352044,0.00976335,0.243168125,-0.48969721,0.007481045
1.508703606,-2.352044,0.009700228,-0.404631611,-0.546561194,0.006917839
1.591434747,-2.352044,0.009637514,-0.414490625,-0.621037684,0.006607877
1.674165889,-2.352044,0.009575205,-1.163046594,-0.669250759,0.008033274
1.75689703,-2.352044,0.009513299,-1.77307332,-0.704699026,0.007490515
1.839628172,-2.352044,0.009451793,-1.475619872,-0.50581066,0.00592802
1.922359313,-2.352044,0.009390685,-1.353839177,-1.25204478,0.008387229
2.005090455,-2.352044,0.009329972,-2.650679732,-1.392224972,0.008183039
2.087821596,-2.352044,0.009269652,-1.78890791,-1.466111769,0.00842914
2.170552737,-2.352044,0.009209721,-2.746781785,-1.644288408,0.010503709
2.253283879,-2.352044,0.009150178,-2.983386472,-1.959441207,0.009951161
2.33601502,-2.352044,0.00909102,-4.696132127,-2.15993223,0.013203212
2.418746162,-2.352044,0.009032245,,,
2.501477303,-2.352044,0.008973849,,,
2.584208444,-2.352044,0.008915831,,,
2.666939586,-2.352044,0.008858188,,,
2.749670727,-2.352044,0.008800918,,,
2.832401869,-2.352044,0.008744018,,,
2.91513301,-2.352044,0.008687486,,,
2.997864152,-2.352044,0.008631319,,,
3.080595293,-2.352044,0.008575516,,,
3.163326434,-2.352044,0.008520073,,,
3.246057576,-2.352044,0.008464989,,,
3.328788717,-2.352044,0.008410261,,,
3.411519859,-2.352044,0.008355887,,,
3.494251,-2.352044,0.008301864,,,
-4.696132,-2.257141667,0.01543052,,,
-4.613400859,-2.257141667,0.01533455,,,
-4.530669717,-2.257141667,0.015239177,,,
-4.447938576,-2.257141667,0.015144397,,,
-4.365207434,-2.257141667,0.015050206,,,
-4.282476293,-2.257141667,0.014956601,,,
-4.199745152,-2.257141667,0.014863578,,,
-4.11701401,-2.257141667,0.014771134,,,
-4.034282869,-2.257141667,0.014679265,,,
-3.951551727,-2.257141667,0.014587967,,,
-3.868820586,-2.257141667,0.014497237,,,
-3.786089444,-2.257141667,0.014407072,,,
-3.703358303,-2.257141667,0.014317467,,,
-3.620627162,-2.257141667,0.014228419,,,
-3.53789602,-2.257141667,0.014139926,,,
-3.455164879,-2.257141667,0.014051982,,,
-3.372433737,-2.257141667,0.013964586,,,
-3.289702596,-2.257141667,0.013877733,,,
