est.Com.Size.Gradient,est.E_PC1,est.beta,Com.Size.Gradient,E_PC1,BD
8.595392667,-4.447938576,0.009985829,,,
8.657043879,-4.447938576,0.009947598,,,
8.718695091,-4.447938576,0.009909513,,,
8.780346303,-4.447938576,0.009871574,,,
8.841997515,-4.447938576,0.00983378,,,
8.903648727,-4.447938576,0.009796131,,,
8.965299939,-4.447938576,0.009758626,,,
9.026951152,-4.447938576,0.009721265,,,
9.088602364,-4.447938576,0.009684046,,,
9.150253576,-4.447938576,0.009646971,,,
9.211904788,-4.447938576,0.009610037,,,
9.273556,-4.447938576,0.009573244,,,
3.170086,-4.365207434,0.013918686,,,
3.231737212,-4.365207434,0.013865783,,,
3.293388424,-4.365207434,0.013813082,,,
3.355039636,-4.365207434,0.013760581,,,
3.416690848,-4.365207434,0.013708279,,,
3.478342061,-4.365207434,0.013656176,,,
3.539993273,-4.365207434,0.013604271,,,
3.601644485,-4.365207434,0.013552564,,,
3.663295697,-4.365207434,0.013501053,,,
3.724946909,-4.365207434,0.013449738,,,
3.786598121,-4.365207434,0.013398618,,,
3.848249333,-4.365207434,0.013347692,,,
3.909900545,-4.365207434,0.013296959,,,
3.971551758,-4.365207434,0.01324642,,,
4.03320297,-4.365207434,0.013196073,,,
4.094854182,-4.365207434,0.013145917,,,
4.156505394,-4.365207434,0.013095951,,,
4.218156606,-4.365207434,0.013046176,,,
4.279807818,-4.365207434,0.012996589,,,
4.34145903,-4.365207434,0.012947192,,,
4.403110242,-4.365207434,0.012897982,,,
4.464761455,-4.365207434,0.012848959,,,
4.526412667,-4.365207434,0.012800122,,,
4.588063879,-4.365207434,0.012751471,,,
4.649715091,-4.365207434,0.012703005,,,
4.711366303,-4.365207434,0.012654723,,,
4.773017515,-4.365207434,0.012606624,,,
4.834668727,-4.365207434,0.012558709,,,
4.896319939,-4.365207434,0.012510975,,,
4.957971152,-4.365207434,0.012463423,,,
5.019622364,-4.365207434,0.012416052,,,
5.081273576,-4.365207434,0.01236886,,,
5.142924788,-4.365207434,0.012321848,,,
5.204576,-4.365207434,0.012275015,,,
5.266227212,-4.365207434,0.01222836,,,
5.327878424,-4.365207434,0.012181882,,,
5.389529636,-4.365207434,0.012135581,,,
5.451180848,-4.365207434,0.012089456,,,
5.512832061,-4.365207434,0.012043506,,,
5.574483273,-4.365207434,0.01199773,,,
5.636134485,-4.365207434,0.011952129,,,
5.697785697,-4.365207434,0.011906701,,,
5.759436909,-4.365207434,0.011861446,,,
5.821088121,-4.365207434,0.011816362,,,
5.882739333,-4.365207434,0.01177145,,,
5.944390545,-4.365207434,0.011726709,,,
6.006041758,-4.365207434,0.011682138,,,
6.06769297,-4.365207434,0.011637736,,,
6.129344182,-4.365207434,0.011593503,,,
6.190995394,-4.365207434,0.011549438,,,
6.252646606,-4.365207434,0.011505541,,,
6.314297818,-4.365207434,0.01146181,,,
6.37594903,-4.365207434,0.011418246,,,
6.437600242,-4.365207434,0.011374847,,,
6.499251455,-4.365207434,0.011331613,,,
6.560902667,-4.365207434,0.011288544,,,
6.622553879,-4.365207434,0.011245638,,,
6.684205091,-4.365207434,0.011202895,,,
6.745856303,-4.365207434,0.011160315,,,
6.807507515,-4.365207434,0.011117896,,,
6.869158727,-4.365207434,0.011075639,,,
6.930809939,-4.365207434,0.011033542,,,
6.992461152,-4.365207434,0.010991606,,,
7.054112364,-4.365207434,0.010949829,,,
7.115763576,-4.365207434,0.01090821,,,
7.177414788,-4.365207434,0.01086675,,,
7.239066,-4.365207434,0.010825447,,,
7.300717212,-4.365207434,0.010784302,,,
7.362368424,-4.365207434,0.010743312,,,
7.424019636,-4.365207434,0.010702479,,,
7.485670848,-4.365207434,0.010661801,,,
7.547322061,-4.365207434,0.010621277,,,
7.608973273,-4.365207434,0.010580907,,,
7.670624485,-4.365207434,0.010540691,,,
7.732275697,-4.365207434,0.010500628,,,
7.793926909,-4.365207434,0.010460717,,,
7.855578121,-4.365207434,0.010420957,,,
7.917229333,-4.365207434,0.010381349,,,
7.978880545,-4.365207434,0.010341891,,,
8.040531758,-4.365207434,0.010302583,,,
8.10218297,-4.365207434,0.010263425,,,
8.163834182,-4.365207434,0.010224416,,,
8.225485394,-4.365207434,0.010185554,,,
8.287136606,-4.365207434,0.010146841,,,
8.348787818,-4.365207434,0.010108274,,,
8.41043903,-4.365207434,0.010069854,,,
8.472090242,-4.365207434,0.010031581,,,
8.533741455,-4.365207434,0.009993452,,,
8.595392667,-4.365207434,0.009955469,,,
8.657043879,-4.365207434,0.00991763,,,
8.718695091,-4.365207434,0.009879935,,,
