est.River.dist.lake,est.Head.river.dist,est.n1,River.dist.lake,Euc.dist.lake,Head.river.dist,SD
2.767890567,5.332341,4.007093441,6.322334079,6.279698791,6.648185037,6.728053965
2.8580968,5.332341,3.980326303,3.954342877,3.57924501,6.526262752,3.863984148
2.948303033,5.332341,3.953559166,5.722228663,5.650108872,6.816107753,3.012981317
3.038509267,5.332341,3.926792029,1.415853163,2.695077775,7.289694477,5.999711341
3.1287155,5.332341,3.900024891,4.295962978,3.962377169,7.323251903,6.498633556
3.218921733,5.332341,3.873257754,4.295962978,4.47990941,7.337929819,11.47914574
3.309127967,5.332341,3.846490617,2.7970887,2.618361316,7.764302499,4.98199039
3.3993342,5.332341,3.81972348,6.327961369,6.109248252,7.971994256,4.593591981
3.489540433,5.332341,3.792956342,6.634102308,6.22428831,8.038903945,2.633390856
3.579746667,5.332341,3.766189205,1.913977102,2.591599385,8.094656511,8.506489074
3.6699529,5.332341,3.739422068,3.044522438,3.024376483,5.332341355,5.046990542
3.760159133,5.332341,3.71265493,5.213095124,5.20968975,5.91237675,2.337305016
3.850365367,5.332341,3.685887793,5.562983814,5.529857861,6.10148675,2.744627543
3.9405716,5.332341,3.659120656,4.92744934,5.02442699,6.795752185,3.792471022
4.030777833,5.332341,3.632353518,5.481560628,5.513423016,6.903983975,2.176651684
4.120984067,5.332341,3.605586381,6.081986975,6.100097414,7.084991352,3.089629885
4.2111903,5.332341,3.578819244,2.915209439,2.973641903,7.974739395,1.788566172
4.301396533,5.332341,3.552052107,5.385023075,5.541965342,8.010922442,2.560756177
4.391602767,5.332341,3.525284969,5.882541111,6.057438214,8.056521972,3.276794369
4.481809,5.332341,3.498517832,0.693147181,0.698599002,8.132354457,5.852624025
4.572015233,5.332341,3.471750695,3.433987204,3.399325254,8.123499099,3.093910538
4.662221467,5.332341,3.444983557,4.262679877,4.326535745,8.127789359,4.828028072
4.7524277,5.332341,3.41821642,2.105171393,2.42355998,8.168295347,2.191822481
4.842633933,5.332341,3.391449283,6.330054,6.452094908,8.317453955,5.507890805
4.932840167,5.332341,3.364682145,7.045628935,6.980538234,8.451345013,1.133273987
5.0230464,5.332341,3.337915008,2.985669983,1.988872959,8.621890831,3.497815376
5.113252633,5.332341,3.311147871,6.26109253,6.383448028,8.708782544,2.759807068
5.203458867,5.332341,3.284380734,6.897122227,6.921663352,8.782859329,2.22282736
5.2936651,5.332341,3.257613596,4.009707599,3.873062725,8.990609476,2.490525769
5.383871333,5.332341,3.230846459,5.182985103,5.128481421,9.005826104,5.187179256
5.474077567,5.332341,3.204079322,5.562979777,5.485369525,9.015883317,6.584066034
5.5642838,5.332341,3.177312184,4.751984601,4.682979386,6.600859807,1.937420995
5.654490033,5.332341,3.150545047,4.751984601,4.682979386,6.600859807,3.896469503
