est.E_PC1,est.Com.Size.Gradient,est.n1,E_PC1,Com.Size.Gradient,SD
-0.890499495,3.170086,5.555572838,-2.408773454,5.000684963,3.132245478
-0.807768354,3.170086,5.679272183,-0.8865671,4.639671618,3.732495115
-0.725037212,3.170086,5.802971528,-1.787878563,5.059525463,5.872130389
-0.642306071,3.170086,5.926670873,-2.313799552,5.766857279,2.843597345
-0.559574929,3.170086,6.050370218,2.921692862,4.298795981,11.31735959
-0.476843788,3.170086,6.174069563,3.494250544,4.605170186,10.52535468
-0.394112646,3.170086,6.297768908,3.063568567,3.854864592,5.525601338
-0.311381505,3.170086,6.421468253,3.125115441,4.089704183,10.50027477
-0.228650364,3.170086,6.545167598,1.445569066,4.199705078,8.896243048
-0.145919222,3.170086,6.668866943,1.108148437,7.951820121,1.649571706
-0.063188081,3.170086,6.792566288,-0.326107722,3.290334789,4.192733164
0.019543061,3.170086,6.916265633,0.084104426,4.930031262,6.982772915
0.102274202,3.170086,7.039964978,-0.158008803,3.838691732,7.122219961
0.185005343,3.170086,7.163664323,1.28653814,3.966090227,9.32070532
0.267736485,3.170086,7.287363668,-0.079950831,4.266844381,6.689589676
0.350467626,3.170086,7.411063013,0.788828937,3.660708577,8.262709242
0.433198768,3.170086,7.534762358,0.78398094,5.736572298,4.625012618
0.515929909,3.170086,7.658461703,0.04109723,4.949547602,5.544232549
0.598661051,3.170086,7.782161048,-0.099913033,4.735223314,12.12764875
0.681392192,3.170086,7.905860393,1.156121538,3.79423997,8.888995873
0.764123333,3.170086,8.029559738,0.84479231,6.160653104,2.807057417
0.846854475,3.170086,8.153259082,0.345643656,8.28068918,1.338459131
0.929585616,3.170086,8.276958427,-0.432474216,7.697222231,1.96989292
1.012316758,3.170086,8.400657772,0.374225573,7.786920878,1.406993464
1.095047899,3.170086,8.524357117,0.518425901,7.547657945,1.221672682
1.17777904,3.170086,8.648056462,0.127021013,8.175094042,1.762695004
1.260510182,3.170086,8.771755807,0.924429766,8.131530711,2.78204623
1.343241323,3.170086,8.895455152,-0.129678639,8.108723574,1.194243236
1.425972465,3.170086,9.019154497,0.243168125,4.680071494,11.24022135
1.508703606,3.170086,9.142853842,-0.404631611,5.837892404,6.880822606
1.591434747,3.170086,9.266553187,-0.414490625,6.829192957,3.19228822
1.674165889,3.170086,9.390252532,-1.163046594,7.279318835,3.367347491
1.75689703,3.170086,9.513951877,-1.77307332,7.164763344,2.141524174
1.839628172,3.170086,9.637651222,-1.475619872,5.291348697,4.833921196
1.922359313,3.170086,9.761350567,-1.353839177,4.285647508,5.037977063
2.005090455,3.170086,9.885049912,-2.650679732,4.850292644,8.245830498
2.087821596,3.170086,10.00874926,-1.78890791,4.790573409,10.0496011
2.170552737,3.170086,10.1324486,-2.746781785,3.854864592,4.308237244
2.253283879,3.170086,10.25614795,-2.983386472,4.112693701,3.167887237
2.33601502,3.170086,10.37984729,-4.696132127,3.170085661,1.873306886
2.418746162,3.170086,10.50354664,,,
2.501477303,3.170086,10.62724598,,,
2.584208444,3.170086,10.75094533,,,
2.666939586,3.170086,10.87464467,,,
2.749670727,3.170086,10.99834402,,,
2.832401869,3.170086,11.12204336,,,
2.91513301,3.170086,11.24574271,,,
2.997864152,3.170086,11.36944205,,,
3.080595293,3.170086,11.4931414,,,
3.163326434,3.170086,11.61684074,,,
3.246057576,3.170086,11.74054009,,,
3.328788717,3.170086,11.86423943,,,
3.411519859,3.170086,11.98793878,,,
3.494251,3.170086,12.11163812,,,
-4.696132,3.231737212,0.007468076,,,
-4.613400859,3.231737212,0.128063444,,,
