,est.Spatial,est.Com.Size.Gradient,est.n1,E_PC1,Com.Size.Gradient,SD,Spatial
2702,0.210319,3.231737212,7.086384524,,,,
2802,0.305221333,3.231737212,7.180080853,,,,
2902,0.400123667,3.231737212,7.273777181,,,,
3002,0.495026,3.231737212,7.367473509,,,,
3102,0.589928333,3.231737212,7.461169838,,,,
3202,0.684830667,3.231737212,7.554866166,,,,
3302,0.779733,3.231737212,7.648562494,,,,
3402,0.874635333,3.231737212,7.742258823,,,,
3502,0.969537667,3.231737212,7.835955151,,,,
3602,1.06444,3.231737212,7.92965148,,,,
3702,1.159342333,3.231737212,8.023347808,,,,
3802,1.254244667,3.231737212,8.117044136,,,,
3902,1.349147,3.231737212,8.210740465,,,,
4002,1.444049333,3.231737212,8.304436793,,,,
4102,1.538951667,3.231737212,8.398133121,,,,
4202,1.633854,3.231737212,8.49182945,,,,
4302,1.728756333,3.231737212,8.585525778,,,,
4402,1.823658667,3.231737212,8.679222107,,,,
4502,1.918561,3.231737212,8.772918435,,,,
4602,2.013463333,3.231737212,8.866614763,,,,
4702,2.108365667,3.231737212,8.960311092,,,,
4802,2.203268,3.231737212,9.05400742,,,,
4902,2.298170333,3.231737212,9.147703748,,,,
5002,2.393072667,3.231737212,9.241400077,,,,
5102,2.487975,3.231737212,9.335096405,,,,
5202,2.582877333,3.231737212,9.428792733,,,,
5302,2.677779667,3.231737212,9.522489062,,,,
5402,2.772682,3.231737212,9.61618539,,,,
5502,2.867584333,3.231737212,9.709881719,,,,
5602,2.962486667,3.231737212,9.803578047,,,,
5702,3.057389,3.231737212,9.897274375,,,,
5802,3.152291333,3.231737212,9.990970704,,,,
5902,3.247193667,3.231737212,10.08466703,,,,
6002,3.342096,3.231737212,10.17836336,,,,
6102,3.436998333,3.231737212,10.27205969,,,,
6202,3.531900667,3.231737212,10.36575602,,,,
6302,3.626803,3.231737212,10.45945235,,,,
6402,3.721705333,3.231737212,10.55314867,,,,
6502,3.816607667,3.231737212,10.646845,,,,
6602,3.91151,3.231737212,10.74054133,,,,
6702,4.006412333,3.231737212,10.83423766,,,,
6802,4.101314667,3.231737212,10.92793399,,,,
6902,4.196217,3.231737212,11.02163032,,,,
7002,4.291119333,3.231737212,11.11532664,,,,
7102,4.386021667,3.231737212,11.20902297,,,,
7202,4.480924,3.231737212,11.3027193,,,,
7302,4.575826333,3.231737212,11.39641563,,,,
7402,4.670728667,3.231737212,11.49011196,,,,
7502,4.765631,3.231737212,11.58380829,,,,
7602,4.860533333,3.231737212,11.67750461,,,,
7702,4.955435667,3.231737212,11.77120094,,,,
7802,5.050338,3.231737212,11.86489727,,,,
7902,5.145240333,3.231737212,11.9585936,,,,
8002,5.240142667,3.231737212,12.05228993,,,,
8102,5.335045,3.231737212,12.14598626,,,,
8202,5.429947333,3.231737212,12.23968258,,,,
8302,5.524849667,3.231737212,12.33337891,,,,
8402,5.619752,3.231737212,12.42707524,,,,
8502,5.714654333,3.231737212,12.52077157,,,,
8602,5.809556667,3.231737212,12.6144679,,,,
8702,5.904459,3.231737212,12.70816423,,,,
8802,5.999361333,3.231737212,12.80186055,,,,
8902,6.094263667,3.231737212,12.89555688,,,,
9002,6.189166,3.231737212,12.98925321,,,,
9102,6.284068333,3.231737212,13.08294954,,,,
9202,6.378970667,3.231737212,13.17664587,,,,
9302,6.473873,3.231737212,13.2703422,,,,
9402,6.568775333,3.231737212,13.36403852,,,,
9502,6.663677667,3.231737212,13.45773485,,,,
9602,6.75858,3.231737212,13.55143118,,,,
9702,6.853482333,3.231737212,13.64512751,,,,
9802,6.948384667,3.231737212,13.73882384,,,,
9902,7.043287,3.231737212,13.83252017,,,,
3,-2.352044,3.293388424,4.553001142,,,,
103,-2.257141667,3.293388424,4.645297568,,,,
203,-2.162239333,3.293388424,4.737593993,,,,
303,-2.067337,3.293388424,4.829890419,,,,
403,-1.972434667,3.293388424,4.922186844,,,,
503,-1.877532333,3.293388424,5.014483269,,,,
603,-1.78263,3.293388424,5.106779695,,,,
703,-1.687727667,3.293388424,5.19907612,,,,
803,-1.592825333,3.293388424,5.291372546,,,,
903,-1.497923,3.293388424,5.383668971,,,,
1003,-1.403020667,3.293388424,5.475965396,,,,
1103,-1.308118333,3.293388424,5.568261822,,,,
1203,-1.213216,3.293388424,5.660558247,,,,
1303,-1.118313667,3.293388424,5.752854673,,,,
1403,-1.023411333,3.293388424,5.845151098,,,,
1503,-0.928509,3.293388424,5.937447523,,,,
1603,-0.833606667,3.293388424,6.029743949,,,,
1703,-0.738704333,3.293388424,6.122040374,,,,
1803,-0.643802,3.293388424,6.2143368,,,,
1903,-0.548899667,3.293388424,6.306633225,,,,
2003,-0.453997333,3.293388424,6.39892965,,,,
2103,-0.359095,3.293388424,6.491226076,,,,
2203,-0.264192667,3.293388424,6.583522501,,,,
2303,-0.169290333,3.293388424,6.675818927,,,,
2403,-0.074388,3.293388424,6.768115352,,,,
2503,0.020514333,3.293388424,6.860411777,,,,
2603,0.115416667,3.293388424,6.952708203,,,,
2703,0.210319,3.293388424,7.045004628,,,,
2803,0.305221333,3.293388424,7.137301053,,,,
2903,0.400123667,3.293388424,7.229597479,,,,
3003,0.495026,3.293388424,7.321893904,,,,
3103,0.589928333,3.293388424,7.41419033,,,,
3203,0.684830667,3.293388424,7.506486755,,,,
3303,0.779733,3.293388424,7.59878318,,,,
3403,0.874635333,3.293388424,7.691079606,,,,
3503,0.969537667,3.293388424,7.783376031,,,,
3603,1.06444,3.293388424,7.875672457,,,,
3703,1.159342333,3.293388424,7.967968882,,,,
3803,1.254244667,3.293388424,8.060265307,,,,
3903,1.349147,3.293388424,8.152561733,,,,
4003,1.444049333,3.293388424,8.244858158,,,,
4103,1.538951667,3.293388424,8.337154584,,,,
4203,1.633854,3.293388424,8.429451009,,,,
4303,1.728756333,3.293388424,8.521747434,,,,
4403,1.823658667,3.293388424,8.61404386,,,,
4503,1.918561,3.293388424,8.706340285,,,,
4603,2.013463333,3.293388424,8.798636711,,,,
4703,2.108365667,3.293388424,8.890933136,,,,
4803,2.203268,3.293388424,8.983229561,,,,
4903,2.298170333,3.293388424,9.075525987,,,,
5003,2.393072667,3.293388424,9.167822412,,,,
5103,2.487975,3.293388424,9.260118838,,,,
5203,2.582877333,3.293388424,9.352415263,,,,
5303,2.677779667,3.293388424,9.444711688,,,,
5403,2.772682,3.293388424,9.537008114,,,,
5503,2.867584333,3.293388424,9.629304539,,,,
5603,2.962486667,3.293388424,9.721600965,,,,
5703,3.057389,3.293388424,9.81389739,,,,
5803,3.152291333,3.293388424,9.906193815,,,,
5903,3.247193667,3.293388424,9.998490241,,,,
6003,3.342096,3.293388424,10.09078667,,,,
6103,3.436998333,3.293388424,10.18308309,,,,
6203,3.531900667,3.293388424,10.27537952,,,,
6303,3.626803,3.293388424,10.36767594,,,,
6403,3.721705333,3.293388424,10.45997237,,,,
6503,3.816607667,3.293388424,10.55226879,,,,
6603,3.91151,3.293388424,10.64456522,,,,
6703,4.006412333,3.293388424,10.73686164,,,,
6803,4.101314667,3.293388424,10.82915807,,,,
6903,4.196217,3.293388424,10.92145449,,,,
7003,4.291119333,3.293388424,11.01375092,,,,
7103,4.386021667,3.293388424,11.10604735,,,,
