est.Com.Size.Gradient,est.Spatial,est.beta,Com.Size.Gradient,Spatial,BD
7.978880545,-1.972434667,0.011024945,,,
8.040531758,-1.972434667,0.011023911,,,
8.10218297,-1.972434667,0.011022877,,,
8.163834182,-1.972434667,0.011021843,,,
8.225485394,-1.972434667,0.01102081,,,
8.287136606,-1.972434667,0.011019776,,,
8.348787818,-1.972434667,0.011018743,,,
8.41043903,-1.972434667,0.01101771,,,
8.472090242,-1.972434667,0.011016676,,,
8.533741455,-1.972434667,0.011015643,,,
8.595392667,-1.972434667,0.01101461,,,
8.657043879,-1.972434667,0.011013577,,,
8.718695091,-1.972434667,0.011012545,,,
8.780346303,-1.972434667,0.011011512,,,
8.841997515,-1.972434667,0.011010479,,,
8.903648727,-1.972434667,0.011009447,,,
8.965299939,-1.972434667,0.011008414,,,
9.026951152,-1.972434667,0.011007382,,,
9.088602364,-1.972434667,0.01100635,,,
9.150253576,-1.972434667,0.011005318,,,
9.211904788,-1.972434667,0.011004286,,,
9.273556,-1.972434667,0.011003254,,,
3.170086,-1.877532333,0.011083249,,,
3.231737212,-1.877532333,0.011080791,,,
3.293388424,-1.877532333,0.011078332,,,
3.355039636,-1.877532333,0.011075875,,,
3.416690848,-1.877532333,0.011073418,,,
3.478342061,-1.877532333,0.011070961,,,
3.539993273,-1.877532333,0.011068505,,,
3.601644485,-1.877532333,0.01106605,,,
3.663295697,-1.877532333,0.011063595,,,
3.724946909,-1.877532333,0.011061141,,,
3.786598121,-1.877532333,0.011058687,,,
3.848249333,-1.877532333,0.011056234,,,
3.909900545,-1.877532333,0.011053781,,,
3.971551758,-1.877532333,0.011051329,,,
4.03320297,-1.877532333,0.011048877,,,
4.094854182,-1.877532333,0.011046426,,,
4.156505394,-1.877532333,0.011043975,,,
4.218156606,-1.877532333,0.011041525,,,
4.279807818,-1.877532333,0.011039076,,,
4.34145903,-1.877532333,0.011036627,,,
4.403110242,-1.877532333,0.011034179,,,
4.464761455,-1.877532333,0.011031731,,,
4.526412667,-1.877532333,0.011029284,,,
4.588063879,-1.877532333,0.011026837,,,
4.649715091,-1.877532333,0.011024391,,,
4.711366303,-1.877532333,0.011021945,,,
4.773017515,-1.877532333,0.0110195,,,
4.834668727,-1.877532333,0.011017055,,,
4.896319939,-1.877532333,0.011014611,,,
4.957971152,-1.877532333,0.011012168,,,
5.019622364,-1.877532333,0.011009725,,,
5.081273576,-1.877532333,0.011007283,,,
5.142924788,-1.877532333,0.011004841,,,
5.204576,-1.877532333,0.011002399,,,
5.266227212,-1.877532333,0.010999959,,,
5.327878424,-1.877532333,0.010997518,,,
5.389529636,-1.877532333,0.010995079,,,
5.451180848,-1.877532333,0.01099264,,,
5.512832061,-1.877532333,0.010990201,,,
5.574483273,-1.877532333,0.010987763,,,
5.636134485,-1.877532333,0.010985325,,,
5.697785697,-1.877532333,0.010982888,,,
5.759436909,-1.877532333,0.010980452,,,
5.821088121,-1.877532333,0.010978016,,,
5.882739333,-1.877532333,0.010975581,,,
5.944390545,-1.877532333,0.010973146,,,
6.006041758,-1.877532333,0.010970712,,,
6.06769297,-1.877532333,0.010968278,,,
6.129344182,-1.877532333,0.010965845,,,
6.190995394,-1.877532333,0.010963412,,,
6.252646606,-1.877532333,0.01096098,,,
6.314297818,-1.877532333,0.010958548,,,
6.37594903,-1.877532333,0.010956117,,,
6.437600242,-1.877532333,0.010953687,,,
6.499251455,-1.877532333,0.010951257,,,
6.560902667,-1.877532333,0.010948827,,,
6.622553879,-1.877532333,0.010946399,,,
6.684205091,-1.877532333,0.01094397,,,
6.745856303,-1.877532333,0.010941542,,,
6.807507515,-1.877532333,0.010939115,,,
6.869158727,-1.877532333,0.010936688,,,
6.930809939,-1.877532333,0.010934262,,,
6.992461152,-1.877532333,0.010931837,,,
7.054112364,-1.877532333,0.010929411,,,
7.115763576,-1.877532333,0.010926987,,,
7.177414788,-1.877532333,0.010924563,,,
7.239066,-1.877532333,0.010922139,,,
7.300717212,-1.877532333,0.010919716,,,
7.362368424,-1.877532333,0.010917294,,,
7.424019636,-1.877532333,0.010914872,,,
7.485670848,-1.877532333,0.010912451,,,
7.547322061,-1.877532333,0.01091003,,,
7.608973273,-1.877532333,0.01090761,,,
7.670624485,-1.877532333,0.01090519,,,
7.732275697,-1.877532333,0.010902771,,,
7.793926909,-1.877532333,0.010900352,,,
7.855578121,-1.877532333,0.010897934,,,
7.917229333,-1.877532333,0.010895516,,,
7.978880545,-1.877532333,0.010893099,,,
8.040531758,-1.877532333,0.010890683,,,
8.10218297,-1.877532333,0.010888267,,,
