est.Spatial,est.E_PC1,est.n1,Spatial,E_PC1,SD
5.240142667,-4.696132,8.521766312,-1.25204478,-1.353839177,5.037977063
5.335045,-4.696132,8.563068386,-1.392224972,-2.650679732,8.245830498
5.429947333,-4.696132,8.60437046,-1.466111769,-1.78890791,10.0496011
5.524849667,-4.696132,8.645672534,-1.644288408,-2.746781785,4.308237244
5.619752,-4.696132,8.686974608,-1.959441207,-2.983386472,3.167887237
5.714654333,-4.696132,8.728276683,-2.15993223,-4.696132127,1.873306886
5.809556667,-4.696132,8.769578757,,,
5.904459,-4.696132,8.810880831,,,
5.999361333,-4.696132,8.852182905,,,
6.094263667,-4.696132,8.893484979,,,
6.189166,-4.696132,8.934787053,,,
6.284068333,-4.696132,8.976089127,,,
6.378970667,-4.696132,9.017391201,,,
6.473873,-4.696132,9.058693275,,,
6.568775333,-4.696132,9.099995349,,,
6.663677667,-4.696132,9.141297423,,,
6.75858,-4.696132,9.182599497,,,
6.853482333,-4.696132,9.223901571,,,
6.948384667,-4.696132,9.265203646,,,
7.043287,-4.696132,9.30650572,,,
-2.352044,-4.613400859,5.1912026,,,
-2.257141667,-4.613400859,5.232771049,,,
-2.162239333,-4.613400859,5.274339497,,,
-2.067337,-4.613400859,5.315907946,,,
-1.972434667,-4.613400859,5.357476395,,,
-1.877532333,-4.613400859,5.399044844,,,
-1.78263,-4.613400859,5.440613292,,,
-1.687727667,-4.613400859,5.482181741,,,
-1.592825333,-4.613400859,5.52375019,,,
-1.497923,-4.613400859,5.565318639,,,
-1.403020667,-4.613400859,5.606887088,,,
-1.308118333,-4.613400859,5.648455536,,,
-1.213216,-4.613400859,5.690023985,,,
-1.118313667,-4.613400859,5.731592434,,,
-1.023411333,-4.613400859,5.773160883,,,
-0.928509,-4.613400859,5.814729331,,,
-0.833606667,-4.613400859,5.85629778,,,
-0.738704333,-4.613400859,5.897866229,,,
-0.643802,-4.613400859,5.939434678,,,
-0.548899667,-4.613400859,5.981003126,,,
-0.453997333,-4.613400859,6.022571575,,,
-0.359095,-4.613400859,6.064140024,,,
-0.264192667,-4.613400859,6.105708473,,,
-0.169290333,-4.613400859,6.147276922,,,
-0.074388,-4.613400859,6.18884537,,,
0.020514333,-4.613400859,6.230413819,,,
0.115416667,-4.613400859,6.271982268,,,
0.210319,-4.613400859,6.313550717,,,
0.305221333,-4.613400859,6.355119165,,,
0.400123667,-4.613400859,6.396687614,,,
0.495026,-4.613400859,6.438256063,,,
0.589928333,-4.613400859,6.479824512,,,
0.684830667,-4.613400859,6.521392961,,,
0.779733,-4.613400859,6.562961409,,,
0.874635333,-4.613400859,6.604529858,,,
0.969537667,-4.613400859,6.646098307,,,
1.06444,-4.613400859,6.687666756,,,
1.159342333,-4.613400859,6.729235204,,,
1.254244667,-4.613400859,6.770803653,,,
1.349147,-4.613400859,6.812372102,,,
1.444049333,-4.613400859,6.853940551,,,
1.538951667,-4.613400859,6.895508999,,,
1.633854,-4.613400859,6.937077448,,,
1.728756333,-4.613400859,6.978645897,,,
1.823658667,-4.613400859,7.020214346,,,
1.918561,-4.613400859,7.061782795,,,
2.013463333,-4.613400859,7.103351243,,,
2.108365667,-4.613400859,7.144919692,,,
2.203268,-4.613400859,7.186488141,,,
2.298170333,-4.613400859,7.22805659,,,
2.393072667,-4.613400859,7.269625038,,,
2.487975,-4.613400859,7.311193487,,,
2.582877333,-4.613400859,7.352761936,,,
2.677779667,-4.613400859,7.394330385,,,
2.772682,-4.613400859,7.435898834,,,
2.867584333,-4.613400859,7.477467282,,,
2.962486667,-4.613400859,7.519035731,,,
3.057389,-4.613400859,7.56060418,,,
3.152291333,-4.613400859,7.602172629,,,
3.247193667,-4.613400859,7.643741077,,,
3.342096,-4.613400859,7.685309526,,,
3.436998333,-4.613400859,7.726877975,,,
3.531900667,-4.613400859,7.768446424,,,
3.626803,-4.613400859,7.810014872,,,
3.721705333,-4.613400859,7.851583321,,,
3.816607667,-4.613400859,7.89315177,,,
3.91151,-4.613400859,7.934720219,,,
4.006412333,-4.613400859,7.976288668,,,
4.101314667,-4.613400859,8.017857116,,,
4.196217,-4.613400859,8.059425565,,,
4.291119333,-4.613400859,8.100994014,,,
4.386021667,-4.613400859,8.142562463,,,
4.480924,-4.613400859,8.184130911,,,
4.575826333,-4.613400859,8.22569936,,,
4.670728667,-4.613400859,8.267267809,,,
4.765631,-4.613400859,8.308836258,,,
4.860533333,-4.613400859,8.350404707,,,
4.955435667,-4.613400859,8.391973155,,,
5.050338,-4.613400859,8.433541604,,,
5.145240333,-4.613400859,8.475110053,,,
5.240142667,-4.613400859,8.516678502,,,
5.335045,-4.613400859,8.55824695,,,
5.429947333,-4.613400859,8.599815399,,,
5.524849667,-4.613400859,8.641383848,,,
5.619752,-4.613400859,8.682952297,,,
5.714654333,-4.613400859,8.724520745,,,
5.809556667,-4.613400859,8.766089194,,,
5.904459,-4.613400859,8.807657643,,,
5.999361333,-4.613400859,8.849226092,,,
6.094263667,-4.613400859,8.890794541,,,
6.189166,-4.613400859,8.932362989,,,
6.284068333,-4.613400859,8.973931438,,,
6.378970667,-4.613400859,9.015499887,,,
6.473873,-4.613400859,9.057068336,,,
6.568775333,-4.613400859,9.098636784,,,
6.663677667,-4.613400859,9.140205233,,,
